package_name,package_uuid
AAindex,1cd36ffe-cb05-4761-9ff9-f7bc1999e190
ABBAj,6b41afa3-2ed9-49a7-abc1-b2d458227d0d
ABCDMatrixOptics,ccdfd77c-c9b6-493d-8c46-f34d2494ed29
ABC_jll,73717f16-8662-5d85-9e79-a3c1fc1c8861
ABCdeZ,208e7efd-7036-4c82-8b73-3e7ae71c2350
ABCredit,91b5283e-3ff1-4617-8122-130c88cb8aba
ACAFact,2e0d8c30-fd72-45bd-a04c-a052d00f6fe4
ACEbase,14bae519-eb20-449c-a949-9c58ed33163e
ACME,ca8b7239-ccd3-5cce-807f-2072f3f0d108
ACSets,227ef7b5-1206-438b-ac65-934d6da304b8
ACTRModels,c095b0ea-a6ca-5cbd-afed-dbab2e976880
ACTRSimulators,c655e612-5123-41dd-bf97-8af606dbe7c1
AD4SM,7861f83d-ce22-4070-aa20-44578e274a9b
ADCME,07b341a0-ce75-57c6-b2de-414ffdc00be5
ADCMEKit,b6719975-6fcd-4453-92fa-4206f52c3839
ADEPT_jll,af974dde-f694-5d16-8534-a03b1a8a7af1
ADI,904a6c7d-4c1b-562f-9573-ab2e7e1c7946
ADIOS2,e0ce9d3b-0dbd-416f-8264-ccca772f60ec
ADIOS2_jll,44b1415a-b224-5c99-9168-ff4febb5f37f
ADNLPModels,54578032-b7ea-4c30-94aa-7cbd1cce6c9a
ADOLC,a7293fd6-5c8a-477e-b6cc-312e3ac044ef
ADOLC_jll,5f481b30-e4a3-563b-890b-c343462061b6
ADRIA,7dc409a7-fbe5-4c9d-b3e2-b0c19a6ba600
ADSeismic,65edcd7e-b178-4558-a546-bf867610404b
ADTypes,47edcb42-4c32-4615-8424-f2b9edc5f35b
AEMS,3b430cce-3194-5812-b203-bf9e73c3e836
AES,5a3fb44e-d90d-11e9-053b-99581e1bac63
AFLplusplus_jll,2a46d845-6c66-546d-9393-effbe7e72607
AGFFileReader,36dd7d7d-c279-4b5c-a024-2ba417cea492
AIBECS,ace601d6-714c-11e9-04e5-89b7fad23838
AIControl,3868d828-178d-56af-83e1-d523478a73cd
AIHelpMe,01402e1f-dc83-4213-a98b-42887d758baa
AISCSteel,599de4a1-440e-403d-8b33-ce14758023a2
AKNS,75efc99c-f354-4bf0-9c4f-447e54034ed9
ALFA,f8dd4131-4bab-4a89-9326-aead9c214d0d
ALPS_jll,6a88e26e-56cb-5037-a572-1ff8e7f440e8
ALaguerre,b59baba2-a6e1-4dc4-834b-5ad32cf651f6
AMCL_jll,3d240a5b-71e6-5479-a1fd-1de0b877801d
AMD,14f7f29c-3bd6-536c-9a0b-7339e30b5a3e
AMDGPU,21141c5a-9bdb-4563-92ae-f87d6854732e
AMDGPUnative,12f4821f-d7ee-5ba6-b76b-566925c5fcc5
AMGCLWrap,4f76b812-4ba5-496d-b042-d70715554288
AMGCL_C_jll,e3ba5bb7-5aef-5326-9a13-9617383dcacb
AMGX,c963dde9-0319-47f5-bf0c-b07d3c80ffa6
AMGX_jll,656d14af-56e4-5275-8e68-4e861d7b5043
AMLPipelineBase,e3c3008a-8869-4d53-9f34-c96f99c8a2b6
AMORS,77d29c75-3847-48dd-b74a-66585bbee1d5
AMQPClient,79c8b4cd-a41a-55fa-907c-fab5288e1383
AMRVW,233ec0c9-6b8d-4766-b9a2-a16e389fc38a
AMReX_jll,9b6a1cb2-ee7e-5f22-a98b-ab382f85f133
AM_jll,b6f02f42-5e06-57a7-8984-092e481b1935
ANOVA,0825541b-7374-5e1e-93bd-72e337c8a986
ANOVAapprox,5e027bd6-ab01-4733-8320-e0223e929ebb
ANSIColoredPrinters,a4c015fc-c6ff-483c-b24f-f7ea428134e9
ARCHModels,6d3278bc-c23a-5105-85e5-0d57d2bf684f
ARDESPOT,d96c9ae4-3372-47d5-8a88-316ae77be8cf
ARFFFiles,da404889-ca92-49ff-9e8b-0aa6b4d38dc8
ARFIMA,9d0fb3db-ba49-4108-bc86-650b3813b6d5
ARMANets,33eca030-06a8-11eb-2ae2-bd410d8394ef
ARules,7cbe2057-1070-5a1a-9a20-8e476bfa53e1
ASCIIrasters,81770e7c-c736-4fa5-8129-46dd21831640
ASDF,686f71d1-807d-59a4-a860-28280ea06d7b
ASDF2,da470b1c-b0a8-4533-b4d1-e613846a4bd7
ASE,51974c44-a7ed-5088-b8be-3e78c8ba416c
ASEconvert,3da9722f-58c2-4165-81be-b4d7253e8fd2
ASL_jll,ae81ac8f-d209-56e5-92de-9978fef736f9
AStarGridSearch,892abc44-b326-442a-ba8e-5eb8be33ac6f
AStarSearch,e6cbe913-2b79-4cc5-848a-e3bbf8537828
ATK_jll,7b86fcea-f67b-53e1-809c-8f1719c154e8
ATKmm_jll,ae83496e-abbd-5b27-8e4c-ced0103e1cfe
AUCell,8db3d324-1814-4568-a261-40c86c609699
AVLTrees,4459d02e-7d0b-4014-b2a2-e38a540ff820
AVSfldIO,b6189060-daf9-4c28-845a-cc0984b81781
AWS,fbe9abb3-538b-5e4e-ba9e-bc94f4f92ebc
AWSBatch,dcae83d4-2881-5875-9d49-e5534165e9c0
AWSBraket,f5a38104-9b45-4271-a786-09a83c4f15bf
AWSCRT,df31ea59-17a4-4ebd-9d69-4f45266dc2c7
AWSCRT_jll,01db5350-6ea1-5d9a-9a47-8a31a394cb9c
AWSClusterManagers,69f5933c-162f-5d2f-a6d8-da72a0bfad91
AWSCore,4f1ea46c-232b-54a6-9b17-cc2d0f3e6598
AWSInfinidash,8b71937e-d9aa-4c4f-ad9f-572b8c3bd4f9
AWSS3,1c724243-ef5b-51ab-93f4-b0a88ac62a95
AWSSDK,0d499d91-6ae5-5d63-9313-12987b87d5ad
AWSSQS,6e80b5ca-5733-51f9-999e-c18680912812
AWSTools,83bcdc74-1232-581c-948a-f29122bf8259
AbInitioSoftwareBase,df5135bc-470e-46c6-b451-292e27ca5b84
Abaco,d40f9233-56b0-491b-a728-76bda003a9e7
AbaqusReader,bc6b9049-e460-56d6-94b4-a597b2c0390d
AbbreviatedStackTraces,ac637c84-cc71-43bf-9c33-c1b4316be3d4
AbbreviatedTypes,1766def0-c946-4dda-a59e-d0d07f8410f7
AbidesMarkets,58d4ea2d-0711-406a-8537-437c3b89a4c2
AbnormalReturns,f9c80461-2ebf-4c7c-9c1c-d30d9d100fd8
About,69d22d85-9f48-4c46-bbbe-7ad8341ff72a
AbsSmoothFrankWolfe,6d364d26-5f85-487f-81b3-ae189dbb3e92
AbstractAlgebra,c3fe647b-3220-5bb0-a1ea-a7954cac585d
AbstractCircuitComponentRounding,f69727b9-8a39-40e5-8e7a-0243a3421727
AbstractControlProcesses,d0d8031c-1ca7-4517-a182-a2551ca8592c
AbstractCosmologicalEmulators,c83c1981-e5c4-4837-9eb8-c9b1572acfc6
AbstractDifferentiation,c29ec348-61ec-40c8-8164-b8c60e9d9f3d
AbstractFBCModels,5a4f3dfa-1789-40f8-8221-69268c29937c
AbstractFFTs,621f4979-c628-5d54-868e-fcf4e3e8185c
AbstractFastHartleyTransforms,19a999c2-4b91-4a95-a5ef-9640c9e909f0
AbstractGPs,99985d1d-32ba-4be9-9821-2ec096f28918
AbstractGPsMakie,7834405d-1089-4985-bd30-732a30b92057
AbstractImageReconstruction,a4b4fdbf-6459-4ec9-990d-77e1fa24a91b
